Date Key,Store Key,Product Key,Product Department,Product Description,Transaction No.#,Sales Amount(CAD),Units Sold
20221104,3,P018,Action Cameras,Product 39,TN0044,1648.77,5
20231022,1,P009,Imaging Devices,Product 32,TN0045,145.13,3
20231119,7,P047,Smart Home,Product 48,TN0046,1401.13,6
20220817,2,P048,VR Devices,Product 40,TN0047,3715.07,5
20221230,7,P042,E-readers,Product 3,TN0048,2072.43,8
20221210,1,P042,Audio Devices,Product 31,TN0049,2959.05,9
20220818,4,P034,Drones,Product 15,TN0050,3861.99,2
20221225,1,P009,Audio Devices,Product 27,TN0051,4393.94,6
20231030,3,P005,E-readers,Product 35,TN0052,512.8,9
20221103,3,P039,Imaging Devices,Product 47,TN0053,305.19,7
20231030,1,P028,Smartphones,Product 49,TN0054,1203.16,10
20230524,3,P042,Televisions,Product 50,TN0055,1968.03,8
20230207,1,P020,Wearable Tech,Product 9,TN0056,2941.56,10
20220501,1,P033,Computing Devices,Product 9,TN0057,1018.26,8
20220719,1,P022,Wearable Tech,Product 28,TN0058,1915.56,7
20230529,5,P050,Computing Devices,Product 27,TN0059,2979.85,6
20220812,3,P012,Televisions,Product 40,TN0060,1164.87,4
20221225,4,P030,Smartphones,Product 28,TN0061,1222.92,4
20221208,4,P027,Gaming Consoles,Product 21,TN0062,4636.68,2
20221013,5,P049,E-readers,Product 8,TN0063,2929.09,10
20220822,6,P036,Smartphones,Product 20,TN0064,1183.85,5
20230109,6,P017,Gaming Consoles,Product 10,TN0065,2239.13,1
20220128,5,P015,Drones,Product 35,TN0066,4359.11,10
20220401,1,P036,Imaging Devices,Product 20,TN0067,3023.64,8
20221220,7,P039,Wearable Tech,Product 31,TN0068,4665.89,9
20221119,2,P017,Smartphones,Product 45,TN0069,4688.15,8
20230426,4,P047,VR Devices,Product 19,TN0070,3685.02,6
20231129,7,P008,Smartphones,Product 17,TN0071,2333.02,6
20230630,5,P050,Smartphones,Product 1,TN0072,1958.53,7
20220427,3,P035,Imaging Devices,Product 12,TN0073,4100.91,3
20231218,2,P019,E-readers,Product 2,TN0074,2464.27,9
20230704,4,P048,E-readers,Product 12,TN0075,2627.78,6
20230214,5,P022,VR Devices,Product 33,TN0076,1857.46,7
20220816,4,P037,Gaming Consoles,Product 15,TN0077,977.79,9
20221218,5,P048,Smart Home,Product 38,TN0078,4126.7,7
20230318,6,P027,Action Cameras,Product 45,TN0079,2227.85,2
20230113,7,P049,Smartphones,Product 44,TN0080,2462.43,8
20231206,7,P045,Smartphones,Product 15,TN0081,1613.96,5
20230219,1,P028,Smart Home,Product 25,TN0082,417.09,6
20220616,5,P024,E-readers,Product 47,TN0083,1595.95,4
20231026,6,P045,E-readers,Product 27,TN0084,4770.69,7
20221230,7,P014,Smart Home,Product 5,TN0085,1767.6,4
20220124,5,P037,Imaging Devices,Product 11,TN0086,1999.09,3
20220930,1,P030,Audio Devices,Product 12,TN0087,2371.24,10
20220816,1,P044,Televisions,Product 27,TN0088,4362.19,5
20230805,4,P009,Audio Devices,Product 18,TN0089,743.19,9
20221112,5,P028,Imaging Devices,Product 3,TN0090,3423.31,2
20220226,5,P020,VR Devices,Product 40,TN0091,3252.18,4
20230205,5,P025,Televisions,Product 25,TN0092,1410.04,1
20221030,3,P040,Smartphones,Product 46,TN0093,3961.93,6
20220619,2,P020,Televisions,Product 27,TN0094,1567.92,2
20231007,6,P038,Audio Devices,Product 36,TN0095,370.12,9
20231106,1,P002,Computing Devices,Product 3,TN0096,4343.05,4
20220105,1,P050,Audio Devices,Product 11,TN0097,1387.14,8
20220828,2,P044,Televisions,Product 30,TN0098,2913.92,3
20230620,4,P004,Imaging Devices,Product 26,TN0099,3577.75,10
20230712,2,P033,Drones,Product 3,TN0100,2203.62,2
20230421,4,P003,E-readers,Product 22,TN0101,2929.04,1
20230511,2,P033,E-readers,Product 45,TN0102,4503.49,10
20220428,1,P041,Imaging Devices,Product 17,TN0103,1732.33,4
20230418,5,P045,Computing Devices,Product 16,TN0104,1856.25,3
20221024,6,P034,Gaming Consoles,Product 37,TN0105,2522.93,9
20221219,4,P045,VR Devices,Product 19,TN0106,3614.08,10
20220615,4,P023,E-readers,Product 7,TN0107,1287.62,8
20230518,1,P039,Smartphones,Product 5,TN0108,4144.37,10
20230406,5,P048,Gaming Consoles,Product 22,TN0109,4645.1,5
20221006,6,P039,Drones,Product 38,TN0110,2657.13,10
20231021,6,P045,Smart Home,Product 38,TN0111,2907.4,3
20230505,2,P014,Computing Devices,Product 40,TN0112,3910.68,5
20220515,3,P037,Drones,Product 6,TN0113,1627.59,1
20231028,3,P004,Smart Home,Product 8,TN0114,4577.72,10
20220311,3,P028,Drones,Product 19,TN0115,292.28,8
20220814,1,P048,Wearable Tech,Product 26,TN0116,3173.92,1
20231015,7,P032,Computing Devices,Product 40,TN0117,2387.76,2
20230603,2,P038,VR Devices,Product 23,TN0118,3253.51,3
20230427,3,P004,Smartphones,Product 32,TN0119,2400.83,10
20220528,4,P012,Audio Devices,Product 35,TN0120,3247.45,7
20220430,2,P047,E-readers,Product 6,TN0121,2417.96,3
20231001,4,P002,E-readers,Product 23,TN0122,511.11,9
20220519,7,P005,VR Devices,Product 39,TN0123,2738.97,3
20230912,5,P027,Gaming Consoles,Product 32,TN0124,3868.16,9
20220812,5,P049,E-readers,Product 50,TN0125,3060.63,3
20230717,4,P030,E-readers,Product 29,TN0126,2974.37,10
20231128,6,P031,Smart Home,Product 15,TN0127,777.91,6
20230218,2,P020,Drones,Product 8,TN0128,2135.98,4
20220819,4,P010,Action Cameras,Product 50,TN0129,3055.86,5
20220621,3,P050,Imaging Devices,Product 38,TN0130,3850.91,9
20220801,2,P034,Televisions,Product 27,TN0131,1298.9,3
20231101,7,P041,Action Cameras,Product 13,TN0132,920.98,1
20231109,5,P004,Televisions,Product 45,TN0133,3426.83,7
20230218,5,P044,Smart Home,Product 34,TN0134,4933.81,8
20220820,2,P023,Audio Devices,Product 14,TN0135,3650.89,8
20230226,6,P013,Gaming Consoles,Product 21,TN0136,2807.09,3
20231106,3,P031,Audio Devices,Product 39,TN0137,1770.26,3
20221229,1,P022,Wearable Tech,Product 3,TN0138,1835.85,10
20230918,7,P030,Audio Devices,Product 26,TN0139,420.33,7
20220110,6,P044,Smartphones,Product 23,TN0140,3901.61,6
20221024,7,P029,Wearable Tech,Product 20,TN0141,1469.76,8
20231021,2,P020,Drones,Product 5,TN0142,2121.5,5
20220407,2,P006,VR Devices,Product 45,TN0143,2610.6,3
20220507,7,P040,Smartphones,Product 36,TN0144,424.26,8
20220423,5,P037,Computing Devices,Product 38,TN0145,797.1,8
20220508,2,P009,Action Cameras,Product 36,TN0146,3337.74,10
20221216,4,P007,Televisions,Product 2,TN0147,3689.21,3
20220702,5,P030,Computing Devices,Product 26,TN0148,4480.38,3
20230527,3,P050,Action Cameras,Product 37,TN0149,1381.02,6
20221004,3,P030,VR Devices,Product 5,TN0150,1367.57,6
20230203,7,P015,Imaging Devices,Product 45,TN0151,3003.84,9
20220720,4,P039,Action Cameras,Product 5,TN0152,3964.96,9
20220514,1,P010,Gaming Consoles,Product 37,TN0153,2851.34,3
20220407,1,P036,Imaging Devices,Product 21,TN0154,1781.53,4
20220612,2,P034,Televisions,Product 9,TN0155,994.93,7
20230926,3,P012,Action Cameras,Product 18,TN0156,335.59,5
20231001,2,P015,Televisions,Product 46,TN0157,3563.14,7
20230514,6,P001,VR Devices,Product 31,TN0158,4341.81,6
20220312,4,P009,Audio Devices,Product 11,TN0159,3056.88,7
20220119,6,P044,Computing Devices,Product 11,TN0160,3731.03,5
20221130,4,P036,Audio Devices,Product 19,TN0161,2803.42,3
20230318,5,P013,Imaging Devices,Product 29,TN0162,4455.31,9
20221027,7,P016,E-readers,Product 35,TN0163,734.78,8
20230318,2,P010,Imaging Devices,Product 18,TN0164,3089.07,7
20230702,4,P038,Wearable Tech,Product 28,TN0165,3134.06,10
20230919,6,P009,Audio Devices,Product 10,TN0166,3554.61,4
20221221,1,P002,Gaming Consoles,Product 41,TN0167,4200.21,3
20220919,3,P046,Televisions,Product 12,TN0168,4672.91,8
20220922,3,P007,Imaging Devices,Product 33,TN0169,262.64,8
20220516,1,P028,Smartphones,Product 22,TN0170,2151.35,1
20230920,2,P047,Smart Home,Product 23,TN0171,1103.95,10
20230424,1,P047,Imaging Devices,Product 42,TN0172,4785.81,8
20220318,4,P045,Gaming Consoles,Product 37,TN0173,698.73,4
20220703,1,P039,Smart Home,Product 49,TN0174,549.09,9
20220426,7,P033,Computing Devices,Product 42,TN0175,3848.69,9
20220812,7,P015,Imaging Devices,Product 49,TN0176,3174.72,5
20221119,6,P032,Gaming Consoles,Product 46,TN0177,3326.66,5
20220505,5,P042,Gaming Consoles,Product 2,TN0178,1029.05,10
20220611,6,P038,E-readers,Product 3,TN0179,2623.63,10
20230131,3,P002,Smart Home,Product 36,TN0180,336.7,5
20230314,6,P004,E-readers,Product 32,TN0181,2755.2,6
20220902,7,P042,Wearable Tech,Product 37,TN0182,2744.33,1
20220624,5,P008,Televisions,Product 18,TN0183,1174.84,9
20230422,2,P043,Gaming Consoles,Product 29,TN0184,3701.08,4
20231231,4,P007,VR Devices,Product 20,TN0185,1614.61,3
20220220,1,P014,Imaging Devices,Product 3,TN0186,4656.67,4
20221121,6,P016,Smartphones,Product 39,TN0187,2545.91,5
20231230,6,P027,E-readers,Product 5,TN0188,1943.12,3
20230328,2,P046,Televisions,Product 29,TN0189,352.82,2
20230331,7,P004,Smartphones,Product 26,TN0190,4632.88,7
20230615,5,P011,Gaming Consoles,Product 14,TN0191,627.48,4
20221030,6,P044,VR Devices,Product 12,TN0192,3628.84,10
20231201,4,P033,Computing Devices,Product 46,TN0193,3728.12,9
20221207,7,P012,Action Cameras,Product 30,TN0194,4052.95,4
20220405,5,P001,Action Cameras,Product 47,TN0195,190.95,3
20220804,3,P015,Computing Devices,Product 48,TN0196,4215.05,1
20230527,2,P022,Drones,Product 1,TN0197,1247.22,6
20231211,1,P020,Wearable Tech,Product 48,TN0198,1547.38,4
20220724,4,P002,Smart Home,Product 40,TN0199,3493.93,10
20230922,1,P009,VR Devices,Product 40,TN0200,159.53,5
20230929,4,P036,E-readers,Product 25,TN0201,2736.0,4
20230629,3,P010,Wearable Tech,Product 23,TN0202,2935.84,3
20230715,2,P031,Televisions,Product 24,TN0203,993.01,6
20230920,1,P047,Audio Devices,Product 2,TN0204,3342.15,6
20221004,6,P005,Smart Home,Product 6,TN0205,2699.63,10
20230209,4,P046,Televisions,Product 34,TN0206,2169.23,7
20230913,3,P012,Action Cameras,Product 5,TN0207,4029.17,5
20220215,4,P019,Computing Devices,Product 34,TN0208,3489.83,4
20230831,5,P002,Wearable Tech,Product 13,TN0209,556.65,10
20220403,1,P010,Imaging Devices,Product 48,TN0210,375.11,8
20220112,1,P024,Televisions,Product 17,TN0211,3385.49,4
20230127,3,P042,VR Devices,Product 9,TN0212,2000.47,5
20220411,6,P017,E-readers,Product 16,TN0213,1398.49,2
20230618,3,P040,Smartphones,Product 45,TN0214,2453.84,2
20220316,4,P020,Action Cameras,Product 49,TN0215,1705.84,10
20220407,1,P049,Imaging Devices,Product 40,TN0216,3639.32,8
20230623,2,P024,Smart Home,Product 47,TN0217,3239.55,6
20230911,3,P013,Computing Devices,Product 17,TN0218,4082.33,5
20230919,3,P016,VR Devices,Product 38,TN0219,633.74,3
20230103,6,P012,Audio Devices,Product 37,TN0220,2865.82,6
20220523,2,P039,Gaming Consoles,Product 25,TN0221,198.75,7
20230830,6,P041,Wearable Tech,Product 19,TN0222,225.42,10
20221105,4,P037,VR Devices,Product 18,TN0223,269.23,1
20220916,5,P020,Computing Devices,Product 22,TN0224,263.61,2
20230112,4,P047,Wearable Tech,Product 16,TN0225,1982.85,4
20220315,4,P042,Smartphones,Product 42,TN0226,943.16,5
20220619,4,P035,Computing Devices,Product 37,TN0227,1563.66,10
20220208,5,P027,E-readers,Product 10,TN0228,1085.88,2
20220304,4,P039,Gaming Consoles,Product 16,TN0229,4847.47,8
20230625,2,P044,Smart Home,Product 1,TN0230,3649.0,4
20220813,1,P002,Smart Home,Product 48,TN0231,3922.18,1
20230306,6,P001,Drones,Product 15,TN0232,2947.57,5
20220327,1,P001,Imaging Devices,Product 28,TN0233,1883.54,3
20220401,3,P022,Televisions,Product 4,TN0234,4487.62,5
20221226,3,P020,Smart Home,Product 22,TN0235,2886.18,1
20231030,2,P012,E-readers,Product 39,TN0236,1568.21,2
20220328,7,P040,Action Cameras,Product 44,TN0237,1266.58,8
20220709,5,P013,Computing Devices,Product 37,TN0238,3987.16,9
20230330,7,P004,Imaging Devices,Product 4,TN0239,3444.12,10
20220221,5,P006,Audio Devices,Product 19,TN0240,1588.19,4
20230314,1,P044,E-readers,Product 35,TN0241,1516.48,6
20220220,1,P038,Computing Devices,Product 2,TN0242,3322.52,10
20220615,6,P033,Imaging Devices,Product 6,TN0243,3500.57,2
20230503,5,P012,Action Cameras,Product 44,TN0244,4656.5,9
20221228,3,P011,Smartphones,Product 18,TN0245,3313.17,10
20230215,3,P031,Televisions,Product 41,TN0246,1519.81,8
20220226,2,P019,Imaging Devices,Product 11,TN0247,3857.44,10
20230602,3,P001,Imaging Devices,Product 5,TN0248,249.75,5
20220201,3,P011,E-readers,Product 18,TN0249,751.87,9
20220930,2,P016,E-readers,Product 7,TN0250,2201.86,5
20231107,3,P013,VR Devices,Product 33,TN0251,2168.03,2
20220706,4,P015,Gaming Consoles,Product 49,TN0252,4471.62,8
20230905,5,P046,Audio Devices,Product 8,TN0253,3100.05,1
20230214,3,P049,Audio Devices,Product 46,TN0254,3825.89,3
20220507,6,P001,VR Devices,Product 20,TN0255,4049.25,6
20220923,2,P022,Televisions,Product 10,TN0256,3355.46,10
20220412,7,P014,Gaming Consoles,Product 30,TN0257,4502.23,7
20230412,7,P045,Computing Devices,Product 15,TN0258,1254.29,2
20230606,3,P050,Gaming Consoles,Product 16,TN0259,4264.67,9
20220715,7,P014,Audio Devices,Product 29,TN0260,786.93,10
20230310,3,P044,Drones,Product 17,TN0261,1156.05,1
20220604,2,P024,Smart Home,Product 20,TN0262,4092.46,1
20230603,3,P039,Wearable Tech,Product 23,TN0263,2096.9,8
20220411,7,P043,Action Cameras,Product 8,TN0264,4200.92,1
20220208,2,P025,Audio Devices,Product 44,TN0265,3598.73,3
20220818,6,P006,VR Devices,Product 9,TN0266,3720.35,2
20230112,3,P030,Computing Devices,Product 19,TN0267,2671.43,6
20220731,6,P004,Audio Devices,Product 32,TN0268,520.44,4
20221013,7,P042,Wearable Tech,Product 12,TN0269,773.89,5
20220804,6,P020,E-readers,Product 8,TN0270,1175.9,4
20230416,4,P011,Drones,Product 49,TN0271,4959.96,1
20231214,2,P024,Wearable Tech,Product 23,TN0272,2744.59,2
20230725,3,P006,Audio Devices,Product 16,TN0273,4827.79,9
20220206,4,P012,Gaming Consoles,Product 26,TN0274,1640.35,10
20220426,5,P003,Smart Home,Product 24,TN0275,148.43,6
20220609,6,P015,Imaging Devices,Product 50,TN0276,3815.91,1
20230301,4,P007,Drones,Product 20,TN0277,2416.47,2
20231010,2,P015,Smart Home,Product 27,TN0278,4102.36,9
20220729,7,P015,Smartphones,Product 10,TN0279,4777.13,10
20221209,4,P004,Smart Home,Product 49,TN0280,2530.25,10
20230913,3,P005,Gaming Consoles,Product 41,TN0281,3650.37,1
20220204,6,P043,Audio Devices,Product 43,TN0282,1234.85,2
20230208,1,P033,Drones,Product 33,TN0283,625.22,9
20231202,1,P038,Smartphones,Product 4,TN0284,1530.0,3
20230328,6,P007,Imaging Devices,Product 8,TN0285,4861.33,6
20230620,2,P048,Imaging Devices,Product 44,TN0286,4033.19,2
20230820,3,P026,Gaming Consoles,Product 5,TN0287,4432.64,6
20220308,4,P036,Smartphones,Product 39,TN0288,2100.1,3
20220209,3,P016,Televisions,Product 46,TN0289,617.87,2
20220621,5,P002,Audio Devices,Product 13,TN0290,3637.25,9
20220610,7,P003,E-readers,Product 39,TN0291,2013.83,8
20230825,6,P007,Imaging Devices,Product 43,TN0292,1383.08,4
20230924,3,P003,Smartphones,Product 14,TN0293,1515.67,8
20220725,2,P041,Imaging Devices,Product 8,TN0294,3987.33,7
20221120,2,P018,Televisions,Product 28,TN0295,224.95,10
20220119,3,P033,Smartphones,Product 29,TN0296,2492.67,10
20230712,3,P017,Wearable Tech,Product 29,TN0297,2136.64,7
20230211,2,P022,Computing Devices,Product 28,TN0298,4935.62,4
20231107,7,P040,Gaming Consoles,Product 13,TN0299,2388.26,7
20230822,2,P001,Televisions,Product 36,TN0300,242.52,8
20231203,1,P033,Audio Devices,Product 13,TN0301,4025.57,2
20230115,4,P028,VR Devices,Product 40,TN0302,2235.71,5
20231203,6,P043,Televisions,Product 4,TN0303,3446.13,3
20230428,3,P041,Audio Devices,Product 36,TN0304,1954.15,8
20230824,5,P030,Wearable Tech,Product 19,TN0305,2837.89,9
20230316,3,P039,VR Devices,Product 34,TN0306,2896.2,9
20221025,5,P043,Smartphones,Product 45,TN0307,4742.59,9
20230518,6,P034,Televisions,Product 24,TN0308,744.84,7
20220724,5,P046,Computing Devices,Product 25,TN0309,3750.16,9
20230407,7,P007,VR Devices,Product 11,TN0310,874.01,5
20220214,7,P048,Computing Devices,Product 2,TN0311,1747.83,1
20221004,4,P001,Smart Home,Product 37,TN0312,3954.55,5
20231220,4,P001,Action Cameras,Product 7,TN0313,1595.58,4
20230109,4,P003,VR Devices,Product 10,TN0314,1680.33,9
20230715,5,P034,E-readers,Product 34,TN0315,3003.07,6
20231118,5,P033,Wearable Tech,Product 11,TN0316,4455.69,3
20230901,1,P011,Smart Home,Product 48,TN0317,2379.56,3
20230929,6,P019,Imaging Devices,Product 6,TN0318,3311.54,8
20220124,7,P043,Computing Devices,Product 33,TN0319,4900.37,4
20220923,7,P016,Drones,Product 34,TN0320,2056.12,5
20231012,5,P020,Televisions,Product 9,TN0321,231.54,10
20230221,4,P040,Action Cameras,Product 23,TN0322,2047.24,1
20221001,1,P036,Smart Home,Product 19,TN0323,3088.32,1
20231020,5,P033,Audio Devices,Product 24,TN0324,1943.08,2
20220322,2,P021,Drones,Product 43,TN0325,1800.03,8
20220802,2,P015,Wearable Tech,Product 48,TN0326,1981.95,8
20220611,3,P033,Drones,Product 32,TN0327,1702.23,3
20220712,6,P002,Smart Home,Product 13,TN0328,312.03,1
20230401,4,P010,Gaming Consoles,Product 11,TN0329,518.84,7
20230829,2,P040,Smartphones,Product 44,TN0330,4625.56,7
20230315,6,P018,E-readers,Product 41,TN0331,472.46,9
20220410,6,P042,Smartphones,Product 9,TN0332,3146.8,2
20230926,6,P031,Smart Home,Product 3,TN0333,153.01,3
20231217,7,P050,Televisions,Product 19,TN0334,4012.63,3
20220224,2,P011,Televisions,Product 22,TN0335,3466.47,2
20230127,3,P013,Smart Home,Product 35,TN0336,4459.24,10
20230518,2,P032,Smart Home,Product 38,TN0337,2132.44,3
20230921,2,P001,Audio Devices,Product 26,TN0338,1934.87,2
20230729,7,P020,VR Devices,Product 33,TN0339,1592.75,7
20231209,4,P030,VR Devices,Product 10,TN0340,2045.21,9
20230427,4,P019,VR Devices,Product 16,TN0341,681.6,6
20220803,1,P049,Wearable Tech,Product 13,TN0342,4165.42,6
20220221,1,P005,Smartphones,Product 9,TN0343,4781.93,8
20220607,1,P036,VR Devices,Product 25,TN0344,2257.47,4
20220902,2,P032,Televisions,Product 39,TN0345,4228.48,10
20230215,6,P015,Imaging Devices,Product 11,TN0346,145.25,7
20220609,6,P005,Wearable Tech,Product 34,TN0347,3583.43,6
20220429,1,P050,Computing Devices,Product 44,TN0348,1570.07,4
20220712,3,P036,Televisions,Product 11,TN0349,4270.51,6
20220528,3,P021,Imaging Devices,Product 25,TN0350,1622.14,1
20220812,3,P012,Imaging Devices,Product 30,TN0351,536.4,1
20220227,7,P009,Imaging Devices,Product 41,TN0352,1816.94,7
20220509,6,P011,Wearable Tech,Product 19,TN0353,721.75,7
20220510,6,P023,Televisions,Product 44,TN0354,1437.82,10
20230208,2,P040,Smart Home,Product 45,TN0355,4438.59,1
20221110,2,P021,Smart Home,Product 16,TN0356,1383.03,4
20230318,2,P021,VR Devices,Product 48,TN0357,4151.95,9
20231022,3,P043,Audio Devices,Product 49,TN0358,962.1,7
20221229,6,P004,E-readers,Product 37,TN0359,2836.17,5
20220117,4,P046,Imaging Devices,Product 8,TN0360,2196.0,3
20220203,2,P007,Gaming Consoles,Product 13,TN0361,4788.65,8
20230304,3,P047,Audio Devices,Product 36,TN0362,2140.08,5
20230212,1,P008,Audio Devices,Product 43,TN0363,3160.99,1
20220814,1,P028,Drones,Product 14,TN0364,3492.59,10
20220926,1,P018,VR Devices,Product 31,TN0365,3241.06,4
20220905,5,P039,Drones,Product 30,TN0366,2201.94,8
20220521,4,P011,Smartphones,Product 28,TN0367,1294.59,10
20230521,3,P023,Drones,Product 44,TN0368,207.48,5
20220810,2,P010,Wearable Tech,Product 13,TN0369,4507.18,4
20220501,3,P006,Computing Devices,Product 24,TN0370,3700.98,1
20230615,6,P018,Smart Home,Product 36,TN0371,3111.6,4
20220406,5,P038,Action Cameras,Product 39,TN0372,1849.31,1
20230328,7,P008,Wearable Tech,Product 46,TN0373,1720.58,6
20220425,3,P043,VR Devices,Product 1,TN0374,4158.58,10
20230806,2,P023,VR Devices,Product 25,TN0375,2845.69,6
20220907,2,P043,Imaging Devices,Product 31,TN0376,4742.05,6
20220902,3,P006,Wearable Tech,Product 22,TN0377,2970.86,4
20231110,1,P040,Computing Devices,Product 2,TN0378,425.51,7
20230316,3,P006,Audio Devices,Product 15,TN0379,1598.65,7
20230110,2,P037,Audio Devices,Product 28,TN0380,297.31,10
20220108,6,P029,Wearable Tech,Product 23,TN0381,4177.63,6
20230421,1,P008,Smartphones,Product 19,TN0382,3802.03,7
20230630,6,P047,Televisions,Product 8,TN0383,221.02,10
20231023,2,P038,Gaming Consoles,Product 35,TN0384,1737.01,5
20231119,3,P030,Audio Devices,Product 29,TN0385,4684.19,8
20220608,1,P039,Wearable Tech,Product 31,TN0386,1122.18,9
20230314,3,P033,VR Devices,Product 25,TN0387,3603.49,7
20231127,1,P008,Gaming Consoles,Product 32,TN0388,1494.87,5
20220405,7,P048,Imaging Devices,Product 50,TN0389,2891.28,9
20230210,4,P006,Wearable Tech,Product 29,TN0390,2725.19,7
20230109,1,P034,Wearable Tech,Product 29,TN0391,1591.57,5
20230915,2,P027,Smart Home,Product 27,TN0392,3610.97,5
20230707,1,P039,VR Devices,Product 23,TN0393,3121.42,1
20220120,6,P007,Smartphones,Product 41,TN0394,499.42,5
20220124,2,P040,Computing Devices,Product 25,TN0395,2534.24,5
20220618,2,P026,Computing Devices,Product 27,TN0396,3531.5,9
20221206,2,P033,Televisions,Product 39,TN0397,1556.15,4
20221116,4,P025,Televisions,Product 10,TN0398,3098.52,2
20231026,3,P005,Wearable Tech,Product 25,TN0399,489.12,4
20220928,7,P013,Action Cameras,Product 43,TN0400,2569.02,4
20220105,4,P030,Imaging Devices,Product 47,TN0401,2405.04,3
20230922,3,P021,Gaming Consoles,Product 36,TN0402,457.45,5
20220608,6,P003,Smartphones,Product 29,TN0403,1474.86,6
20231227,7,P013,Audio Devices,Product 16,TN0404,2690.95,4
20230813,7,P043,Drones,Product 46,TN0405,4855.26,5
20230401,5,P012,Imaging Devices,Product 30,TN0406,4460.68,3
20230830,3,P012,Audio Devices,Product 12,TN0407,1190.02,4
20230505,4,P015,VR Devices,Product 8,TN0408,1852.4,3
20221101,2,P012,VR Devices,Product 22,TN0409,2511.3,1
20221218,4,P006,Smartphones,Product 29,TN0410,4071.45,1
20231208,5,P005,Wearable Tech,Product 34,TN0411,1931.18,5
20220504,3,P035,Computing Devices,Product 31,TN0412,2881.43,5
20221125,4,P009,Smartphones,Product 45,TN0413,321.61,3
20220803,3,P003,Wearable Tech,Product 20,TN0414,3307.24,6
20230419,3,P022,Audio Devices,Product 24,TN0415,4646.76,5
20230812,7,P037,Imaging Devices,Product 19,TN0416,2920.88,2
20231023,5,P025,Computing Devices,Product 10,TN0417,2016.15,1
20220125,5,P027,Smart Home,Product 35,TN0418,3675.61,6
20220410,5,P035,Wearable Tech,Product 22,TN0419,962.94,1
20231228,6,P019,Smart Home,Product 32,TN0420,345.33,7
20230725,2,P001,Smart Home,Product 47,TN0421,694.66,6
20231219,6,P047,Drones,Product 30,TN0422,260.62,6
20230916,6,P032,E-readers,Product 5,TN0423,4817.89,7
20231012,2,P031,Drones,Product 11,TN0424,4216.48,5
20230217,2,P049,Smart Home,Product 28,TN0425,349.83,5
20220402,3,P015,VR Devices,Product 2,TN0426,1524.27,10
20231227,4,P024,Drones,Product 17,TN0427,621.75,3
20231205,3,P010,Audio Devices,Product 11,TN0428,1865.88,2
20230121,2,P004,Imaging Devices,Product 38,TN0429,1092.44,7
